,,,,,,,Daily Price Arrival Report-07-11-2025 to 05-09-2026 for Punjab,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Punjab,Amritsar,Ajnala APMC,Vegetables,Onion,Onion,Local,"3,800.00","3,800.00","3,800.00",Rs./Quintal,0.30,Metric Tonnes,05-09-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Onion,Onion,Local,"3,650.00","3,650.00","3,650.00",Rs./Quintal,0.15,Metric Tonnes,02-09-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Onion,Onion,Local,"2,800.00","2,800.00","2,800.00",Rs./Quintal,2.50,Metric Tonnes,01-09-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Onion,Local,Local,"2,850.00","2,850.00","2,850.00",Rs./Quintal,0.30,Metric Tonnes,31-08-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Onion,Local,Local,"3,000.00","3,000.00","3,000.00",Rs./Quintal,2.00,Metric Tonnes,26-08-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Onion,Local,FAQ,"3,200.00","3,200.00","3,200.00",Rs./Quintal,1.00,Metric Tonnes,21-08-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Onion,Local,Local,"2,500.00","2,500.00","2,500.00",Rs./Quintal,2.50,Metric Tonnes,07-08-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Onion,Local,Local,"1,400.00","1,400.00","1,400.00",Rs./Quintal,2.50,Metric Tonnes,05-08-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Onion,Onion,FAQ,"1,900.00","1,900.00","1,900.00",Rs./Quintal,0.90,Metric Tonnes,03-06-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Onion,Medium,Grade A,"2,550.00","2,550.00","2,550.00",Rs./Quintal,67.50,Metric Tonnes,20-08-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Onion,New Pune,Grade A,400.00,400.00,400.00,Rs./Quintal,164.00,Metric Tonnes,15-05-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Onion,Medium,Grade A,"1,000.00","1,000.00","1,000.00",Rs./Quintal,183.00,Metric Tonnes,18-04-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Onion,Medium,Grade A,"1,400.00","1,400.00","1,400.00",Rs./Quintal,201.00,Metric Tonnes,16-04-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Onion,Other,Grade A,"1,350.00","1,350.00","1,350.00",Rs./Quintal,169.50,Metric Tonnes,15-04-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Onion,Medium,Grade A,"1,300.00","1,300.00","1,300.00",Rs./Quintal,140.50,Metric Tonnes,14-04-2026
Punjab,Amritsar,Gehri APMC,Vegetables,Onion,Other,Grade A,"1,500.00","1,500.00","1,500.00",Rs./Quintal,0.30,Metric Tonnes,08-08-2026
Punjab,Amritsar,Gehri APMC,Vegetables,Onion,Other,Grade A,"1,800.00","1,800.00","1,800.00",Rs./Quintal,0.50,Metric Tonnes,14-05-2026
Punjab,Amritsar,Gehri APMC,Vegetables,Onion,Other,Grade A,"1,200.00","1,200.00","1,200.00",Rs./Quintal,0.50,Metric Tonnes,07-05-2026
Punjab,Amritsar,Gehri APMC,Vegetables,Onion,Other,Grade A,"1,500.00","1,500.00","1,500.00",Rs./Quintal,0.30,Metric Tonnes,19-02-2026
Punjab,Amritsar,Gehri APMC,Vegetables,Onion,Other,Grade A,"1,500.00","1,500.00","1,500.00",Rs./Quintal,0.50,Metric Tonnes,15-02-2026
Punjab,Amritsar,Gehri APMC,Vegetables,Onion,Other,Grade A,"1,500.00","1,500.00","1,500.00",Rs./Quintal,0.70,Metric Tonnes,08-01-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,412.00","1,412.00","1,412.00",Rs./Quintal,0.04,Metric Tonnes,05-09-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,412.00","1,412.00","1,412.00",Rs./Quintal,0.05,Metric Tonnes,04-09-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,413.00","1,413.00","1,413.00",Rs./Quintal,0.05,Metric Tonnes,03-09-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,416.00","1,416.00","1,416.00",Rs./Quintal,0.04,Metric Tonnes,02-09-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,415.00","1,415.00","1,415.00",Rs./Quintal,0.05,Metric Tonnes,01-09-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,415.00","1,415.00","1,415.00",Rs./Quintal,0.05,Metric Tonnes,31-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,416.00","1,416.00","1,416.00",Rs./Quintal,0.05,Metric Tonnes,29-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,417.00","1,417.00","1,417.00",Rs./Quintal,0.05,Metric Tonnes,28-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,415.00","1,415.00","1,415.00",Rs./Quintal,4.50,Metric Tonnes,27-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,420.00","1,420.00","1,420.00",Rs./Quintal,0.05,Metric Tonnes,26-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,417.00","1,417.00","1,417.00",Rs./Quintal,0.04,Metric Tonnes,25-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,417.00","1,417.00","1,417.00",Rs./Quintal,0.05,Metric Tonnes,24-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,420.00","1,420.00","1,420.00",Rs./Quintal,0.04,Metric Tonnes,22-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,420.00","1,420.00","1,420.00",Rs./Quintal,0.05,Metric Tonnes,21-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,421.00","1,421.00","1,421.00",Rs./Quintal,0.04,Metric Tonnes,20-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,420.00","1,420.00","1,420.00",Rs./Quintal,0.03,Metric Tonnes,19-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,425.00","1,425.00","1,425.00",Rs./Quintal,0.04,Metric Tonnes,18-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,420.00","1,420.00","1,420.00",Rs./Quintal,0.05,Metric Tonnes,15-08-2026
Punjab,Amritsar,Rayya APMC,Vegetables,Onion,Other,FAQ,"1,420.00","1,420.00","1,420.00",Rs./Quintal,0.05,Metric Tonnes,14-08-2026
