,,,,,,,Daily Price Arrival Report-07-11-2025 to 05-09-2026 for Punjab,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Punjab,Amritsar,Ajnala APMC,Vegetables,Tomato,Tomato,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,0.10,Metric Tonnes,02-09-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Tomato,Tomato,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,0.20,Metric Tonnes,01-09-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Tomato,Other,Local,700.00,700.00,700.00,Rs./Quintal,0.50,Metric Tonnes,31-08-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Tomato,Deshi,Local,"2,700.00","2,700.00","2,700.00",Rs./Quintal,0.10,Metric Tonnes,17-08-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Tomato,Deshi,Local,"1,500.00","1,500.00","1,500.00",Rs./Quintal,1.80,Metric Tonnes,05-08-2026
Punjab,Amritsar,Ajnala APMC,Vegetables,Tomato,Tomato,FAQ,"3,700.00","3,700.00","3,700.00",Rs./Quintal,0.20,Metric Tonnes,03-06-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Tomato,Tomato,Grade A,"2,000.00","2,000.00","2,000.00",Rs./Quintal,28.30,Metric Tonnes,20-08-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Tomato,Other,Grade A,500.00,500.00,500.00,Rs./Quintal,97.20,Metric Tonnes,05-05-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Tomato,Other,Grade A,500.00,500.00,500.00,Rs./Quintal,56.00,Metric Tonnes,21-04-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Tomato,Other,Grade A,"1,500.00","1,500.00","1,500.00",Rs./Quintal,57.10,Metric Tonnes,16-04-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Tomato,Tomato,Grade A,"1,000.00","1,000.00","1,000.00",Rs./Quintal,69.00,Metric Tonnes,14-04-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Tomato,Tomato,Grade A,"1,016.00","1,016.00","1,016.00",Rs./Quintal,84.40,Metric Tonnes,31-03-2026
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi) APMC,Vegetables,Tomato,Tomato,Grade A,"1,000.00","1,000.00","1,000.00",Rs./Quintal,86.00,Metric Tonnes,24-02-2026
Punjab,Amritsar,Gehri APMC,Vegetables,Tomato,Other,Grade A,"1,200.00","1,200.00","1,200.00",Rs./Quintal,0.50,Metric Tonnes,19-02-2026
Punjab,Amritsar,Gehri APMC,Vegetables,Tomato,Other,Grade A,"1,700.00","1,700.00","1,700.00",Rs./Quintal,0.50,Metric Tonnes,16-02-2026
Punjab,Amritsar,Gehri APMC,Vegetables,Tomato,Other,Grade A,"1,500.00","1,500.00","1,500.00",Rs./Quintal,0.30,Metric Tonnes,21-01-2026
